Sentiment,Review
0,"Ok, so I know this place is all the rage. 

I ordered the grilled beef for corona takeaway and I was disgusted. There was more fat, cartilage and inedible pieces than beef. Chew chew CRUNCH - spit. Over and over. My friend called me two hours later after ordering the same thing - she ended up giving her order to the homeless after the first bite. 

This means that they either don't clean (cut the meat) properly, or using cheaper pieces to save a buck. 

The grilled chicken was dry too. Honestly though, the shrimp was good. Stick to pulled beef and chicken for authenticity and - TEXTURE. C'mon seven lives!

Very disappointed."
2,"Love this place. Food is delicious. I had burger and it was amazing... They are realy using quilty ingredients. Menu is full of good Italian food. I don't know the name of the chef but kudos to him what ever he does. The only I wish that is bigger space and also more parking availability. Sugo is located on busy Bloor Street West. Prices are right. My wife had pasta and she was impress. The portions are big. Enterier is cozy decorated but tables are small so there is no to much space to enjoy. If you wanna use this place for takeout I think is better option. They are always busy so you have to give some extra time to yourself before actually  get seated. Overall nice experience and for sure we are coming back again. 
I wish they have more choice of burger buns for some people who doesn't eat sesame."
2,"Fine Italian dining. Valued accordingly, but you certainly get what you pay for and the service was fantastic (as was the food). At our table the wild boar ragu pasta, sea bass and risotto were favourites. Our selections of Osso buco and delicate fish fillets perfectly prepared and flavored. The restaurant filled up as show time approached but we hardly noticed - not overly noisy despite being full by the time we departed. The food and service were both exceptional. Carisam is our number one choice for Italian food in Toronto. Sophisticated, elegant and classic. Love this place!"
1,"The food here is amazing. I understand why previous reviews mentioned it being an OG spot and authentic taste overall. They specialized in more FuZhou cooking but it's good cause it doesn't have the oily and greasy taste afterwards. We enjoyed everything we ordered and the portions were a great size for what we needed that day. They cook really good snow pea leaves, probably one of the best I've had in Chinese restaurants. So definitely no complaints about the food at all, it's totally worth it but CASH ONLY! 

The only reason why I'm giving it a 3 is because they don't have the best table service (which seemed to be the case in the Toronto Chinatown area). The waiting staff look really annoyed at you and the lack of hospitality is not what I'm used to when I go to restaurants. Maybe the workers are being overworked and not compensated enough, just don't let it rub you the wrong way if you want to try the food, it does come out fast and I did really enjoy it."
1,"Sort of an overhyped ice cream shop.

They indeed offer unique flavours, but it's significantly more expensive than necessary. Their flavours are fun to try if you haven't been here, but I would probably never return with their exuberant prices. Two tiny scoops of ice cream can run you nearly $10. You can find plenty of ice cream shops with unique flavours for way less.
Their ice cream is also super melty as well. As soon as I got it, it was already melting all over the place. If you're into soft serve, this is your spot--but I'm a hard serve ice cream kind of person."
2,Amazing food! Amazing service!! Best pizza!!! Like amazing the buratta is seriously the best in toronto
0,"I came on a Monday around 5pm with two other people. We ordered 3 dishes (ravioli, lobster pasta and shrimp with veggies) and spent over 100$. Here is a short pros and cons list: 

Pros: 
- The food is good 
- The chef gave us some bread with butter, vinegar and olive oil on the side. He also gave us some baked zucchini as an appetizer. 
- He seems knowledgeable about Italian cuisine. He said that he cooked in Italy for 7 years. 
- a lot of street parking nearby

Cons: 
- The restaurant smells like cat. The odour was very strong. 
- The bathroom is in the basement with a very very low ceiling. It reminded me of the bathrooms one would expect to see at a campsite, so it's very usable, but lots of bugs. 
- The decor is very outdated. 
- Too expensive. The ravioli dish was composed of 4 big ravioli. The lobster pasta was also a fair portion. The shrimp with veggies was my main issue. It cost over 25$ if I recall correctly. It was 3 shrimp with a handful or two of steamed veggies. For the price we paid, we expected more. After we finished our meal, we were still not fully satisfied. We ended up going somewhere else and eating more. 

In my opinion, the cons greatly outweigh the pros. There are many other cleaner Italian restaurants that serve much more equally delicious food for the same price."
2,"Winterlicious 2020 Dinner $53

App: Beef carpaccio 
Main: Beef short rib
Dessert: Pistachio cannoli 

The app was very refreshing and delicious, but it came with a pickled bean which was NOT my taste so I just skipped it. The main was the BEST short rib that I ever had. It was super tender and juicy, the meat came right off the bone! The dessert was good too, I just LOVE pistachios. One thing to mention, although this is fine dining..
 They gave the most generous portion!! I came out STUFFED with AMAZING quality food! 

The staff were very friendly and welcoming. The atmosphere was nice, not too loud and it was a cute little resto. Def want to come back to try their regular menu."
2,"Wonderful restaurant located in the Junction.  Great atmosphere and good service. Best gnocchi in the city.  The riceballs are also a must try. & make sure to save room for dessert-they have a great array of scrumptious desserts. 
Highly recommend."
0,It was way over priced for the type of food you get. One particular waiter was very rude (Tony). The other waiters were polite but the ratio of wait staff to patrons was not balanced. We had trouble just getting water or trying to get our bill.
1,"Small portions, and flavors weren't very exciting for ""upscale fusion"". Seemed pretty typical Asian.

Staff was good and attentive.

All in all the atmosphere and experience felt very pretentious."
1,"Not authentic!! It's a good sandwich with good fillings. The bread however, is what makes a Banh mi a Banh mi and it was too soggy. Really good Banh mi bread is just perfect crunchy on the outside and soft on the inside. This is not it. The fries were okay as well. Also too soggy. Sigh."
2,"WOW! Amazing food !
Thanks Charlie and Frankie T for a great lunch! Wasn't one dish of the 4-5 I tried that I wasn't completely amazed by."
1,"Came here for the first time by luck, on a Tuesday- had to take advantage of their Taco Tuesday special ($28 for 8 hardshell tacos). 

The service here was friendly but a little slower than normal standards. It is also pretty stuffy inside on a hot day, especially on the top floor, but the restaurant itself is a cute, grungy setup. 

I shared the special with my friend, and it came with the perfect amount of toppings to fill the tacos... it's always so satisfying when you're giving the perfect food ratios. The tacos are presented on a tray along with the (""sides"" is what they call it but I think a better word for it is just the taco stuffings). It came with all your taco essentials, including guac. The ground beef also had a bit of a spicy kick to it, and the taco shells had a different crunch to them. Overall, nothing was mind blowing about the tacos. I think it's fun for when you're coming in a pair with someone else, but you'd need to order more with it to fully fill up an empty stomach (good thing my friend and I had a snack before coming). The tacos were presented nicely but if I were to get this for say, takeout, not sure the deal is worth hyping about. 

I'd be open to coming back to try more of their extravagant tacos though :) judging from their menu the prices seemed reasonable for a downtown restaurant."
2,"The rose pasta was so creamy and delicious. Highly highly recommend! Along with the hazelnut latte and white chocolate cappuccino, we thoroughly enjoyed our visit to this cafe. It was a bit hard to find at first and busy as we went around 1pm but it cleared up and we found a spot to sit. After trying the food, I understood why this place has a 5 star rating. You also get a free cappuccino if you spend over $20. The owners were so friendly and told us about the same cafe that their family owns in Italy."
0,"Totally disappointing - everything is definitely on the over-seasoned/extremely salty side. Or totally BURNT! 

The chips we were served were totally burnt and we were told they were the batch of the day and there was nothing they can do about it. (Check pic)

The chips were followed by a totally burnt batch of corn- were not talking grill marks here, crust black corn. We were told that how it's severed (no it's not, we've been here before!). Is there no one to check what comes out of the kitchen??

To add insult to injury chewed on an avocado pit in the guacamole. 

Hosting and service were another issue. Extremely disappointing experience all in all. Fails at all basic hospitality and restaurant standard."
1,"Donatello's has a great decor and great atmosphere. The staff were extraordinarily attentive and friendly. The cost/performance ratio of the food is however a little wanting. I had the mussels which was quite tasty but a bit skimpy for the price. The veal marsala was pretty average at best. The other notable dish was the egg plant salad which is quite imaginative with a layer of pineapple in the middle. All in all, a pleasant experience but would not rush back."
1,"The service was great, but the quality of the food was pretty mediocre. Tried 4 different kinds of dumplings - neither of them were bad, but didn't stand out either."
0,"We were in the neighborhood and couldn't decide what to eat so we did what others would do in our situation which was to bust out our phones and go on Yelp for suggestions! Well Yelp led us to this place based on its high ratings but I'm sad to say that Yelp has failed me again.  This restaurant's dimsum quality was not good. The curry cuttlefish was very watery and bland, their chicken feet had a weird taste, their sui mai was okay but again kind of bland, their spare ribs was full of fat and the list goes on and on with negative things to say about their other dishes. None was good!

Service was okay but their debit machine was down and I didn't have cash on me and when I asked if they take e- transfers, they said no. So I had to drive out to a bank to get cash which was a bit of a pain but of well.

Definitely will not comes back to this one."
0,"New owner!!
Was my favourite place in the hood but noticed that the owner ship has changed and quality of the food has deteriorated. 
Less food and high priced."
1,"My group and I came here to celebrate a birthday. There were issues with the reservation, as they had only called to confirm the day of the event, and we found we weren't being treated appropriately because of it by the hostess/first waiter upstairs that we received. It also may have been because of young age compared to the rest of their customers. If you plan to visit, make reservations and make sure there are no miscommunications before arriving. 

They ended up being able to accommodate us and our new waiter downstairs was very friendly and helpful. Despite the service in the beginning, it was quickly turned around with good service and great food. I ordered the gnocchi and it was delicious and filling. 

This place felt more like a date spot than a spot for large parties, there are a few floors, but it's still small. The food would be 5/5 for me but with the initial service, had to give it a 3."
2,Came to Blu to celebrate my birthday with my bf. Everything was perfect. The staff were so friendly and attentive. Our glasses were never empty. Love the recommendations. We really had a wonderful experience. It's a shame that we came too early for the live music but that's okay the ambient was already great. The ahi tuna tartar is a must try and the lamb! It was also really nice of them to give us dessert to celebrate my birthday on the house. Honestly I don't know why I didn't know about this place until recently! Will definitely refer people to this place.
0,"We tried this place since it's close to our hotel and shopping places. 
The ambiance was great and place looks clean. But the service needs a lot of work. The hot and sour soup is terribly spicy and no taste. Just the hot spice. So I ordered another soup. The wonton soup. It took them almost 30 minutes to bring my soup out. And likewise no taste and very UN-CHINESE flavor. 
We also asked one waiter about a cocktail mix and he initially gave me the impression that he does not want to be asked about the drinks and the menu. The waiter said I'll get back it's you but he never did come back. Almost All waiters and servers here are very UNFRIENDLY AND NO SMILE at all. Very disappointing place.!!!!"
0,"I came here with a group of friends and I have to say I wasn't very impressed.

It took us a long time to even get enough menus that we could share. The menus are confusing as there is a large place-mat like sheet you can use, or the menu book with pictures.

Then they tried to sell us a membership. Really? A membership? When I looked at the menu again there are 2 different prices. The cheaper one is the membership price and is of course brighter and more prominent than the higher non-member price. 

We ordered a variety of items and they were all meh. A few items we had to ask for again as they were forgotten. 

The staff run around yelling at each other and its really annoying and disturbing. 

When we finished and tried to pay, the waiter tried to split our bill and half way through asking each of us what we ordered he gave up and gave it to another server, so we had to start over again.

I wouldn't go again unless I went with someone with one of these fancy memberships."
0,"Came here to celebrate my Friends Birthday, Food is good but for the price its not worth it.service not good. I ask them if they can do something for her like candle and small dessert..And she said yeah we can do that..And I was waiting for it and she forgot and I felt bad that I have to said it infront of my friend when it supposed to be surprise.He said that they don't have anything like that but We saw that they did it on the other table.By the way we paid around $500 for that small portion of food and Bad service!"
1,"I have to give credit where credit is due - GB Noodles is the restaurant that made me a noodle-soup fan. I lived in China from 2015-2017, and while I was there, I didn't find a noodle soup I enjoyed. 

GB Noodles changed all of that. I used to love coming here. It was consistently delicious.

I'm not sure what's changed, but it definitely isn't the soup I remember. It's still good, don't get me wrong, but after coming back for the first time in about a year, I'm just not sure what's changed. The broth is decent, the noodles are still fantastic, but the overall effect left me a bit wanting."
2,"This was a very memorable dining experience in Little Italy and was a very good choice.  We made the mistake of coming on a Saturday night without reservations; however, we were able to sit outside.  The poor Canadians!  Most of them couldn't handle the summer heat of dining al fresco on a sweltering day, but this was fine with us.

We were well cared for outside, and the food was terrific.  We got the house red wine which was an affordable and pleasant option.  I got the daivolo pizza and it was cooked to perfection.

These guys really should think about expanding, because they could probably double their business with the number of people they turned away as we dined.  Granted it was a Saturday, but it was obviously a popular option for both locals and tourists like us."
1,"i tried this place out on a week night for my birthday w.3 of my gfs. we ordered 4 pasta dishes and a charcuterie board to share. our server (short redish hair) didnt seem enthused all night..not sure if thats just how she was..but definitely not on the friendly side. she seem quite hostel towards us than the other server we saw.. but we made our own night fun w.each other! 
service 3/5.

the salami charcuterie board was ok..nothing in particular wowed us with it. she brought it out and dropped it on our table. no explaination as to what was what..didnt know which salami/cured meat was which..didnt even know which cheese selection they had given us either.. it wouldve been nice to know what we were feasting on..i know my friend requested more salami and a cheese that wasnt so strong. i think they gave us brie cheese..

we then got the 4 pastas: orecchiette, bolognese, pappardelle & carbonara.
all of it was really good! forgot to ask for the pastas to be cooked a little more well but the flavours are nice.
braised rabbit was tender. fennel sausage had a nice kick. bolognese meat sauce was delicious carbonara wasnt overly creamy.

overall food 4/5.

atmosphere was nice. dim lit, cute little lights hung through out. lots of seating and tables throughout the place. not sure how busy it would be on a weekend..but id love to come back and try their pizzas!"
1,"Queen West small Italian shop with simple black and white décor, sizeable patio but limited seating inside, typical (you'll get the joke soon) Italian fair with a slight focus on risottos and pastas.

I thought just the décor was black and white, but it turned out the placemats and menus were also black and white - there's a collection of black ink art that reminds me of medieval times when artists worked for months on a simple line drawing to get things just right - whether it was embellishment in a single capital letter, or a decorative flower, or the skull of an animal - because you know, all these are completely related and belong side by side. Nothing wrong with it at all, it was definitely unique and presented artfully. 

The menu is deceptively lengthy - dishes are in Italian then described in English. I've never read a menu that uses ""typical"" as it's adjective of choice so much. Most of my party went for pastas - they were smaller portions than desired. It would've been fine as a lunch portion, but for dinner it was insufficient and taste was simpler than expected (or should I say, typical?). The risotto with veal was actually a highlight despite some other reviews and the portion was actually filling, unlike the gnocchi and ravioli items (those were the smallest!). Overall it was really not bad - but unfortunately underwhelming.

Service is very slow if you're a large group - so please spare them and only come with a few friends. You'll enjoy the ambiance more and sharing more items will be more feasible, and your overall experience will just be that much better! If I'm in the area I suppose I could give it another shot, but for one that values taste over aesthetic, I might not be back."
1,"Lai Wah Heen offers excellent service and good food. The prices are higher compared to restaurants in Chinatown nearby, but you are paying for better service and food. 

The service is always great here. Servers are attentive and friendly. The atmosphere is casual. Overall, I enjoy most of the items I've had here. You will not leave disappointed if you have a dinner here. The service and food are both great. 

However, I am only giving it a 3 stars because I think the prices are high for what you get. Yes, the food is better than some of the cheaper restaurants in Chinatown. However, it isn't anything exceptional to me for the price they charge. It is priced higher because it is in a great location perhaps. For the prices here, I am expecting more unique items."
0,"I'm very confused on the tacos we received vs all these amazing reviews...

First timers at Kensington so we decide on this taco joint because Seven Lives was too long around 1:30p. 5 small tacos come in an order and you can only mix and match Al Pastor, Tinga and Chorizo. So we decided to get 2 Tinga and 3 Al Pastor. The tacos literally came out in 2 minutes after ordering. Too quick :3 The taste was bland and unappealing.

I've just attributing this negative review to a bad day at El Trompo..."
2,"Arrived about half an hour early before opening as suggested by other posts. Peeking into the window, I saw the staff meticulously working to ensure everything is ready before doors open. A line slowly built up behind me, and come 12pm, there was about 15-20 people waiting.

There are exactly 10 seats for dine-in, so if you want to have first seating, come early. Otherwise, there are several picnic tables on the patio.

I ordered the cavatelli with sugo and homemade sausage, and the insalata (radish, cucumber, cubed lettuce) for dine-in. I also got agnolotti to take home. The pasta was cooked perfectly, with each cavatelli holding the sugo like a glove. The sausage was juicy and flavourful. The insalata was refreshing between bites of pasta.

As I was enjoying my meal, the line never got shorter. The man who took all the orders was friendly and never lost his cool in the busyness. After I finished my food, I asked for my agnolotti. The man offered serving suggestions and cooking instructions.

I made the agnolotti the same night with a brown butter sage sauce.

Definitely would come back. Well worth coming early. Best pasta. Best value. Great experience."
1,"Hovering between 3 and 4 stars. The food was delicious to be sure, but the price point was extremely high for the portions we received. I realized the pasta is made in house so that accounts for a lot of it, but it still just felt pretty pricey given we didn't really order that much and got pretty hungry again a few hours later.

My husband ordered the ravioli (8 small ravioli in dish. It was FANTASTIC but a tiny portion) and I had the mushroom tagliatelle (also great but just mushrooms tossed in a light sauce with a bit of parsley). We also split the chocolate cake for dessert and I had a glass of wine and the whole tab came out to around $70. WHAT. The night before we ate at another restaurant with dishes packed with seafood, veggies, meat, and more and we spent the same amount of money for around 8-9 small plates of food. And everything was made from scratch there as well. 

The experience was nice, and the food was good but I would probably not return given you can get more for your money in Toronto at other locations and have an equally delicious meal."
1,"Had my bday dinner at the counter seating in front of the kitchen, a great spot to watch the chef cooking the dishes. Food was great except the pasta. It's raw, not Al dente. We ordered the octopus. The portion size of each piece has a quite big difference. Wonder if they give s bigger portion for a large table. As we only had two people, we ordered the pork chop instead of the porterhouse. It's lovely cooked with cheeky pink inside. The highlight was the dessert, pine nut tart with wildflower honey and vanilla mascarpone. It's not too sweet with balanced flavour. 
The kitchen gave us a piece of choco tarte as bday cake. It's funny that the candle light was off three times as it's windy above our seats. 
I'd love to try their pizza in the future. However I doubt if I will go again coz they don't seem like to chat with asians"
1,"The decor was nice and the staff were all very friendly and helpful but it was a veeeery long wait for our main course. I had the Tagliatelle special with sausage, mushroom and black truffles and it was ok, I wasn't that impressed. I wouldn't order it again. But others at my table enjoyed their meals."
0,"Not even going to talk about the food here because the service here was abysmal. We asked for 3 cups of hot water and were charged $1.50/cup. When we asked the waiter why they charge for hot water they mentioned that all restaurants in yorkville charge for water. After suggesting some of the restaurants  we regularly visit that offer complimentary hot water, the waitress said, ""I guess those restaurants aren't high end anyway...""

I'm sorry, kasa moto and one have $$$ and $$$$ ratings while this barn has $$. Snobs."
0,"Ordered through Uber eats .. maybe going to restaurant better , not sure , but the food was really gross. Waste of 70 bucks .. threw most of it out and feel really gross and might vomit .. nasty 
0 stars"
2,"The burrata pizza from Buca is AMAZING! It's so simple but so good. Perfectly chewy yet crispy crust, super flavourful (but not salty) sauce, and the most amazing cheese.  I usually don't get such simple pizzas when I go out, but this one is fantastic and I highly highly highly recommend!

I didn't love the salumi di mare - it's a salumi/charcuterie plate but instead of meat it is seafood.  I just found that the textures weren't as satisfying, and the flavours weren't as strong as pork and beef meat platters.  It is definitely interesting, and I think it is one of the most popular things to get at Buca Yorkville, since they are the seafood focused Buca restaurant."
1,"I did not choose this place myself, but a friend had reservations for our group of friends on a Saturday night. Waited about 20 minutes to be seated. It is a pretty cozy place and very packed, but I assumed that meant it was delicious too! I thought the food was much too overpriced for the portions. I chose the angel hair pasta and it just tasted like something you whip up at home for a quick meal. I admit I should have just chosen something else with more flavor, but the prices were stopping me. 
I did really enjoy the calamari salad though. It was flavorful and perfectly grilled. Delicious. 
I have to note that it was super chilly inside to the point where my teeth were chattering at the end of our meal. 
I would like to come back to try a different dish though!"
0,"Worst service ever, was yelled at by the head cook when we asked if take out was available because he was too busy and its not worth his time for a small order. His words.  Avoid this place, much better options ""Mariachi"" on Yonge street 2 mins away.  Playa Cabana downtown."
1,"The pasta is really good. You can tell it's homemade once you take a bite. However, prices are quite high with portion sizes small. I ordered the duck pasta and felt I wanted more pasta but I guess it's filling but I don't think it's worth the price. I love my desserts but all their desserts were over $15 so I passed. The service was good and attentive.

They do not do separate cheques. Therefore, if you come with a large group be prepared to grab your calculators so you can split the bill easier. I'm a little annoyed that the host never checked me in with my open table reservation which resulted in a warning email from Open Table for a No Show. He did resolve it after the phone call but it was quite inconvenient to have to call the restaurant to have them fix the problem."
2,"Second visit to dine at Eataly was amazing. This time it was at ""La Piazza"". Quoted 35 minutes for the wait on a Sunday late afternoon.

Shared a soppressata and funghi pizza with a glass of Aperol Spritz. Both pizza options were delicious. Not your typical thin crust, wood oven pizza but something thicker and softer in texture to consume.

Impeccable service as always."
0,"Terrible service. Despite seeing my party, they continued to ignore us until we stopped them while they were walking by us. Food was cold and did not taste good at all. Highly do not recommend."
2,"Went on a Saturday afternoon and was one of two pairs there which made me sort of second guess but that went away after I tried the gnocchi. Doesn't matter if it's a packed house or you're the only guests if the food holds up. And the food more than holds up. My brunch buddy got the tagliatelle with mushrooms and raved the entire time. Wish there was better bread with something to dip (oils, etc) but that's my only complaint. Portions don't look big but they are quite filling. It ain't cheap though. Well worth it though."
2,"My girlfriend and I have never been to Toronto before, but I found this place not far from where we are staying. We've come here quite a bit in the morning. It's quite good. Good food, friendly staff.. My only complaint is slow service and slow food preparation, but otherwise very good. As a tourist from California I've come here four mornings in a row. That should tell you something.

And try the Arrabbiata! I've had it twice.."
2,"My favorite Italian restaurant in Toronto. Wonderful service. Elegant, Loud, Positive atmosphere.

I've come here for business dinners and birthday dinners with my girlfriend. It works for either really well. 

No hesitation in recommending it!"
0,"This is definitely Italian food for the after-work crowd, a Buca di Beppo-type of experience that didn't leave that much of an impression on my palate. It wasn't that the food was badly executed but rather that the plates were by-the-numbers unmemorable. I was here with the same dozen people I had been with for the previous eight hours, so small talk opportunities had already been exhausted as we sat closely together at a communal table. Because of the size of our party, I was able to try quite a number of their dishes and got a reasonably broad cross-section.

The common adjective connecting the plates was 'bland'. We started with the $14 Calamari Fritti which apparently came with shishito peppers that had disappeared by the time the plate was passed to me (photo: http://bit.ly/35MxgSg). Meh. I did manage to snag one of the overly chilled prawns on the $21 Shrimp Cocktail platter (photo: http://bit.ly/2EE5UBy). Better were the $13 Beets & Burrata with arugula and toasted almonds (photo: http://bit.ly/34Lnhva) and the $12 Greens which added celery hearts for crunch and a drizzle of sherry vinaigrette (photo: http://bit.ly/36TVmKG). The pasta plates were pretty standard issue given the couple of bites I was able to get of each.

The $21 Linguine di Mare was a typical seafood melange with little imagination (photo: http://bit.ly/2PGtJ22), while the $18 Tortiglioni alla Bolognese at least provided meatiness in the veal & pork ragu, but again it was bland and lacked freshness (photo: http://bit.ly/373WnjJ). The three different pizzas disappointed. The $18 Verdure had toppings and a basil pesto that were rather skimpy on the chewy crust (photo: http://bit.ly/38R3Y6R). while the $17 Margherita was just wet (photo: http://bit.ly/2Q1UXzi). Only the $19 Prosciutto was reasonably good with the padano cheese and prosciutto more plentiful (photo: http://bit.ly/34GULe2). 

Dessert came on cutting boards, and they offered a trio of which truthfully I only tried the Tiramisu Cake Roll which was OK (photo: http://bit.ly/2M8ukaH). There was also Chocolate Budino and Cannolo though my colleagues grabbed those pretty quickly (photo: http://bit.ly/36UM69j). My favorite part of the meal? The $14 Pimms Cup with ginger ale, lemon & cucumber, which honestly hit the spot far more than any of the food (photo: http://bit.ly/2SarzJH). Listen, none of us had high hopes for culinary delights here, and even our sponsor admitted this was not her first choice, but the proximity to our hotel just made it so convenient.

FOOD - 2.5 stars...standard issue Italian with few surprises
AMBIANCE - 2 stars...loud and rather packed after work
SERVICE - 2 stars...nothing special 
TOTAL - 2 stars...not worth seeking out unless your expense account covers it

RELATED - Traveling to Toronto? Here's a collection of places I've tried and reviewed: http://bit.ly/2LETSfV"
0,"Had an appointment across the street so I saw this Mexican place and decided to try it out. It's very nicely decorated -- vibrant colours, a mural, and lots of Mexican decor. 

I decided to go with a veggie burrito as I am vegetarian, which came up to $9 flat. I was told at the cash that it's 10% off if you pay with cash (not sure if that's an everyday thing but at least I know for next time). Anyways, I was served right away and I was in and out within five minutes I'd say. The burrito itself was not the greatest--pretty bland compared to other veggie burritos I've eaten (and I eat a lot of them lol). I've also never had a burrito with broccoli, cauliflower and carrots in it so this was a first for me . Honestly tasted like I had some type of Asian stirfry in my burrito which really threw me off. Guacamole is supposed to be included but I couldn't even taste it . To be honest I didn't finish a quarter the burrito because I just didn't enjoy it at all. A piece of the cauliflower actually fell on the ground by accident there was a bunch of pigeons around me that really enjoyed it lol  

Would I come back? Probably not. If I was in the area I'd be open to trying something else on the menu because I see a lot of great reviews but I don't see myself ever coming out of my way to come here again."
